country,gdppercapita,counntry_edit,gdppercapita_edit
Solomon Islands?,2251,Solomon Islands,2251
São Tomé and Príncipe?,2174,São Tomé and Príncipe,2174
Laos?,2623,Laos,2623
East Timor?,1443,East Timor,1443
Cambodia?,1513,Cambodia,1513
Kiribati?,1515,Kiribati,1515
Haiti?,1360,Haiti,1360
Pakistan?,1167,Pakistan,1167
Cameroon?,1502,Cameroon,1502
Senegal?,1458,Senegal,1458
Kyrgyzstan?,1186,Kyrgyzstan,1186
Benin?,1254,Benin,1254
Zambia?,985,Zambia,985
Guinea?,1179,Guinea,1179
Comoros?,1421,Comoros,1421
Nepal?,1135,Nepal,1135
Tanzania?,1115,Tanzania,1115
Lesotho?,1061,Lesotho,1061
Uganda?,846,Uganda,846
Myanmar?,1292,Myanmar,1292
Ethiopia?,840,Ethiopia,840
Zanziba,1031,Zanzib,1031
Tajikistan?,838,Tajikistan,838
Togo?,863,Togo,863
Sudan?,1415,Sudan,1415
Rwanda?,798,Rwanda,798
Syria?,890,Syria,890
Yemen?,937,Yemen,937
Mali?,856,Mali,856
Guinea-Bissau?,668,Guinea-Bissau,668
Gambia?,757,Gambia,757
Burkina Faso?,831,Burkina Faso,831
Chad?,679,Chad,679
Liberia?,491,Liberia,491
DR Congo?,506,DR Congo,506
Eritrea?,588,Eritrea,588
North Korea?,618,North Korea,618
Afghanistan?,508,Afghanistan,508
Niger?,568,Niger,568
Mozambique?,449,Mozambique,449
Somalia?,118,Somalia,118
Malawi?,615,Malawi,615
Madagascar?,470,Madagascar,470
Central African Republic?,481,Central African Republic,481
Sierra Leone?,475,Sierra Leone,475
South Sudan?,1421,South Sudan,1421
Burundi?,286,Burundi,286
